Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,Mean,Median,StdDev
2019-11-14,0.8674,0.8674,0.8957,0.9408,0.9408,-0.7441,0.91,0.91,-0.7441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5382111111111111,0.8815500000000001,0.6588586489598532
2019-11-13,0.8957,0.9749,0.9749,-0.8628,0.9624,-0.6808,-0.6808,-0.8628,-0.5267,0.9963,0.9963,-0.6908,-0.6908,0.9118,0.8834,-0.8176,-0.8176,0.4997,-0.8957,,,,,,,,,,,,,,,,,,,,0.02994736842105263,-0.24837631578947367,0.8160776597594993
2019-11-12,0.902,0.902,-0.4767,-0.4767,0.7321,0.7321,0.85,0.85,0.9843,0.9843,0.9783,0.9823,0.9783,0.9823,0.984,0.9823,0.9807,,,,,,,,,,,,,,,,,,,,,,0.7559764705882352,0.94015,0.4467080293169255
2019-11-11,0.9891,-0.2023,-0.2023,0.7579,0.7579,-0.2023,0.9468,0.886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46635,0.7579,0.5019947346171405
2019-11-10,0.9891,0.9872,0.09,0.905,-0.7532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44361999999999996,0.67431,0.6336323448145921
2019-11-09,0.905,0.905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.905,0.905,0.0
2019-11-08,-0.8375,0.9191,-0.8375,0.188,0.9191,0.9872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22306666666666666,0.22306666666666666,0.7371428949796962
2019-11-07,0.9721,0.9721,0.9741,0.893,0.989,0.266,0.266,0.9835,0.9835,-0.079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.72203,0.9721,0.37425631414988925
2019-11-06,0.9651,0.9651,0.9543,-0.9858,0.9543,0.9555,0.9555,-0.0772,-0.0772,-0.0129,-0.0129,0.8979,-0.985,0.8979,-0.985,0.8979,-0.9402,0.6591,-0.985,0.6591,0.961,0.961,,,,,,,,,,,,,,,,,0.3010227272727273,0.6591,0.7676268732314088
2019-11-05,0.8558,0.8558,0.9862,0.9432,0.9819,0.9862,-0.82,-0.3182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5588625,0.8558,0.634044301796511
2019-11-04,0.9829,0.9829,-0.8678,0.9941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.523025,0.9829,0.7423629005440444
2019-11-03,0.7343,0.8979,0.9941,-0.3182,-0.3182,0.9523,0.9986,-0.4678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43412500000000004,0.7343,0.599300581470925
2019-11-02,0.9819,0.9819,-0.9587,0.9259,0.9259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.57138,0.9259,0.7114886412505623
2019-11-01,0.9939,0.9939,0.91,0.91,0.9908,0.9791,0.9955,0.3818,0.9882,0.9819,0.9908,0.0598,0.9918,0.9794,-0.6425,0.9666,-0.6425,0.9879,-0.8805,0.5106,0.9792,0.0598,-0.8805,0.9201,0.9201,0.9836,-0.9968,0.9413,0.9413,0.875,-0.5994,-0.5994,,,,,,,0.4997125,0.9201,0.7001863823712023
2019-10-31,-0.2263,0.9879,0.5245,0.5245,0.9594,0.5245,0.9594,-0.2263,-0.9927,-0.9927,0.9594,0.0516,-0.9765,0.7935,0.9729,0.9729,0.7937,0.2272,-0.7984,0.9836,0.9836,0.4215,0.7845,0.9741,0.9628,0.9502,0.9502,0.9161,0.9955,0.9964,0.9964,,,,,,,,0.5146258064516128,0.8549,0.6510006049229067
2019-10-30,-0.2263,0.9966,0.9966,-0.9609,0.9844,0.9949,0.9885,0.9538,-0.9961,0.9761,0.9761,0.9579,0.8372,0.8074,0.802,-0.8957,0.9942,0.9973,-0.3612,-0.3612,0.9666,0.8957,0.8957,,,,,,,,,,,,,,,,0.5312869565217392,0.92475,0.7029598644898704
2019-10-29,0.6808,0.8211,0.8211,0.9821,0.9821,0.9971,-0.8638,0.3182,0.3182,-0.8638,0.9971,0.9935,-0.9634,-0.9493,0.9783,0.9427,0.846,0.9833,0.9823,-0.1208,0.9334,-0.8979,-0.9689,0.9973,0.9974,,,,,,,,,,,,,,0.39776399999999995,0.83355,0.7741367239734918
2019-10-28,0.9781,-0.25,0.9761,0.9761,-0.25,0.9947,0.9974,0.972,0.9781,0.964,0.9841,0.9878,0.9878,0.3182,0.3182,0.9785,0.9785,0.8903,0.9973,0.9826,0.9785,0.9844,0.9869,0.9895,0.9514,0.972,0.9896,0.9854,,,,,,,,,,,0.8427678571428572,0.9785,0.34254561480905715
2019-10-27,0.9747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9747,0.9747,0.0
