Date        Symbol           Mean    Median     StdDev
2019-07-10  AAPL       0.568982     0.9348   0.608173
2019-07-09  AAPL       0.154574     0.2574   0.764276
2019-07-08  AAPL       0.0708259    0        0.737456
2019-07-07  AAPL      -0.7029      -0.7029   0
2019-07-05  AAPL       0.141557     0.9867   0.979701
2019-07-04  AAPL      -0.461425    -0.94175  0.840314
2019-07-03  AAPL      -0.240133    -0.36755  0.620662
2019-07-02  AAPL       0.115167     0.13655  0.808628
2019-07-01  AAPL       0.62635      0.9812   0.565081
2019-06-30  AAPL       0.331267     0.9911   0.933145
2019-06-28  AAPL       0.374505     0.78245  0.736352
2019-06-27  AAPL       0.297481     0.4902   0.62273
2019-06-26  AAPL       0.257075     0.3233   0.613893
2019-06-25  AAPL       0.7802       0.95325  0.320595
2019-06-24  AAPL       0.207064     0.2667   0.717811
2019-06-23  AAPL       0.414775     0.8219   0.798542
2019-06-21  AAPL       0.469914     0.98355  0.798581
2019-06-20  AAPL       0.223786     0.52025  0.783553
2019-06-19  AAPL       0.405555     0.79495  0.736697
2019-06-18  AAPL       0.251675     0.52565  0.76111
2019-06-17  AAPL      -0.0422154   -0.1027   0.592466
2019-06-16  AAPL      -0.024        0.02345  0.527072
2019-06-15  AAPL       0.9217       0.9217   0
2019-06-14  AAPL      -0.180405    -0.53315  0.811656
2019-06-13  AAPL       0.18828      0.4122   0.788545
2019-06-12  AAPL       0.481156     0.7579   0.578209
2019-06-11  AAPL       0.728874     0.8658   0.240014
2019-06-10  AAPL       0.883462     0.9427   0.114805
2019-06-09  AAPL       0.882967     0.9936   0.156459
2019-06-07  AAPL       0.95062      0.9921   0.0703227
2019-06-06  AAPL       0.42339      0.79375  0.698537
2019-06-05  AAPL       0.45145      0.57085  0.590689
2019-06-04  AAPL       0.233042     0.5494   0.7767
2019-06-03  AAPL       0.707536     0.92675  0.469801
2019-05-31  AAPL      -0.127091    -0.93     0.925417
2019-05-30  AAPL       0.398286     0.27115  0.521207
2019-05-29  AAPL      -0.14338     -0.3818   0.817199
2019-05-28  AAPL       0.257054     0.1406   0.708666
2019-05-26  AAPL      -0.592167    -0.4404   0.21463
2019-05-24  AAPL       0.2569       0.58685  0.641663
2019-05-23  AAPL      -0.21022     -0.83495  0.854195
2019-05-22  AAPL       0.265596     0.8415   0.778679
2019-05-21  AAPL       0.00964444  -0.0415   0.898217
2019-05-20  AAPL      -0.318766    -0.7783   0.760392
